Transition 1,Transition 2,Order,sigsys,a,b_1,c_1,d_1,b_2,c_2,d_2
4205.650Cr1,4210.786Fe1,15,20.337603664035452,381909.52037631813,14.707955410551694,147.14495803202865,-27338.393639932943,-0.0012768460528598752,-206.50932697676737,3165.8711649462753
4205.650Cr1,4210.786Fe1,16,36.8374655421009,336821.6271605746,15.60381915346408,186.8507528565062,-7934.355612785961,-0.0013641447189521676,-132.5027404614094,955.7928797756241
4205.650Cr1,4215.052Zr1,16,92.74018134993726,590334.6199070255,23.347393245091745,1440.6405699569355,7960.233353262857,-0.0021340725481756866,2289.018412709159,-937.9793155610203
4205.650Cr1,4216.017Fe1,16,92.32264317409067,691381.6580149285,11.031208332990344,828.614148134151,8753.655592496607,-0.0010226101287257776,1887.2110900682878,-1072.9106771179156
4210.786Fe1,4215.052Zr1,16,53.27855352611848,230443.58546361772,13.293739931125447,1343.3704351714625,18522.97908748359,-0.0012413081284189688,2039.8967140742077,-2140.8295949154262
4210.786Fe1,4216.017Fe1,16,126.87308615270835,356646.2645742544,2.8600137848907856,823.6930988269809,5436.900703747967,-0.00029343176129829115,1981.6148430216813,-701.9231382199806
4210.786Fe1,4217.791Fe1,16,47.29976210436445,502313.3670954253,-5.80784477984376,186.74802323765334,5573.318030594686,0.0005668035224805113,70.65924434979027,-700.4497043166091
4214.834Fe1,4219.893V1,16,10.933783681052903,367856.60992063617,-2.961906905292876,33.79504047458826,730.3422559531741,0.00025220853033968647,270.62203589647464,-83.11958771178418
4214.834Fe1,4223.402Fe1,16,11.210131937227898,600127.4799841865,2.0842726844536514,170.76950289687485,1598.3213543089341,-0.00019250457642715186,314.26511160361554,-196.6298831677314
4215.052Zr1,4216.017Fe1,16,99.7334403337662,111905.449224469,-12.647878007850657,-575.369184058821,-3814.8685894844657,0.0011421357159031938,58.027118438570035,397.0483248516731
4215.052Zr1,4217.791Fe1,16,73.25636889746657,264103.45968579507,-16.833840097511107,-1098.8530243493594,-12800.977618061668,0.0016201822685935835,-2328.7303465679233,1456.359879296817
4217.791Fe1,4219.893V1,16,0,135641.46626030825,1.8657264563704425,-86.004826028903,4865.605836485126,-0.00017818001779838552,7.094445841772224,-552.9803004269247
4219.893V1,4227.146Fe1,16,10.323802288302307,520962.19721071876,-2.0818081685944674,149.92503406568514,-283.76933151648717,0.0001582954064406372,-160.0651365518366,38.3270963229913
