Transition 1,Transition 2,Order,sigsys,a,b_1,c_1,d_1,b_2,c_2,d_2
4205.650Cr1,4210.786Fe1,15,54.2426101301725,317445.25881971023,13.795229829396433,-129.69655750589627,3895.056012770915,-0.0012209140045294606,240.72322640878437,-428.9069986893375
4205.650Cr1,4210.786Fe1,16,75.39880592697801,327333.0558695935,10.846106273013818,-15.927430530491161,3113.706005228617,-0.0009637778895952425,142.83418526872458,-336.71221120797804
4205.650Cr1,4215.052Zr1,16,110.55913429115422,623668.3761327902,20.430227555597096,1393.6571898384068,-3901.863961294919,-0.001859177028953615,1220.4921671425204,434.17163440381415
4205.650Cr1,4216.017Fe1,16,76.9282132616375,713728.7717084377,9.719507536017092,911.6043406897552,-428.2150718482062,-0.0008821556378505803,722.5103249322866,7.725518441889108
4210.786Fe1,4215.052Zr1,16,104.59657670232562,321436.3916835447,4.816074108727089,1410.232272530905,-12260.022740724893,-0.00047677240525419027,1100.6168265921604,1366.9422457508485
4210.786Fe1,4216.017Fe1,16,128.9921986276903,397306.8717385492,-3.487017299271173,972.2980536029231,-5652.2447939712365,0.000295483259496804,666.7328199754295,595.7856471255166
4210.786Fe1,4217.791Fe1,16,74.17409161200588,526382.394472354,-4.980514968166893,333.0679712685122,-6858.317724329497,0.0005083802478429992,-426.7196024939557,735.0287488468392
4214.834Fe1,4219.893V1,16,12.92555219695569,373951.5106112796,-3.9019122326587508,57.18928837654408,-973.5715374259058,0.0003378946872699806,193.65928751488383,123.11736695759615
4214.834Fe1,4223.402Fe1,16,8.037675365857828,604995.7093916651,1.3693255031551859,176.58620356553666,197.4504678230705,-0.00012490885756124745,286.67294160833336,-30.188164580538224
4215.052Zr1,4216.017Fe1,16,95.77555211871717,74885.75575886693,-6.8825463245925915,-520.2986641006165,5363.2048253710955,0.0006497876106650092,-547.4099343556948,-649.742218357073
4215.052Zr1,4217.791Fe1,16,98.85813453135678,225874.22320777143,-12.665555871264335,-1060.818619224171,-265.54846268669735,0.001233513807433535,-1688.5532064926133,2.6482387249883743
4217.791Fe1,4219.893V1,16,2.9581589679853693,146349.3457503744,1.9197975674106669,-54.34494222819528,-210.95829300545427,-0.00017919737653701692,-22.07526584985135,33.92251977001996
4219.893V1,4227.146Fe1,16,9.198237917736561,512929.46525254066,-0.2671615037453357,150.09178427554173,972.7057958660545,3.1394908088611766e-06,-79.8284969947555,-103.01675547425977
4223.402Fe1,4227.146Fe1,16,15.471908298049758,281600.1567718416,-5.6115989511262825,32.84783183588687,48.566361665744644,0.00047084194970314886,-196.23076481427645,22.346456981378893
4257.811Cr1,4264.790La2,17,30.674306154280718,486672.9780514344,5.872640773360747,-109.59777698901325,-4644.375438855794,-0.0005349904572820199,6.6985965570120545,547.5548162519294
4257.811Cr1,4264.790La2,18,17.945230900407285,476879.8366855037,-0.02094334028927558,-119.45503304120248,7755.50844308153,-2.034208741705662e-05,496.28558587821516,-896.0436166185549
4277.630Ti1,4282.569Ti1,18,5.58970883083426,352652.43127661804,-1.3375442447834363,94.83305416211597,-1170.4653035737583,0.0001140114769512398,-45.48919622723017,130.2547327099908
4280.692Fe1,4287.210Ti1,18,34.65415388215875,433718.19955627003,9.223192491206474,-481.3184356211718,-1568.837261019549,-0.0007777717557868083,-70.08857372687014,161.31398407467432
4295.006Fe1,4299.716Ni1,18,14.06979053977061,348028.0307780287,-5.973022010583355,-72.20794137330864,-1400.3138263722274,0.0005372825617740653,-130.7731264001985,161.3188386162901
4295.006Fe1,4299.716Ni1,19,14.678101159262317,348832.32223840797,-7.225137985780448,-130.5704013631877,59.92606273080128,0.0006474677846918079,-213.028329964975,-28.374189375063594
4299.716Ni1,4309.365Mn2,19,99.58934596417016,586463.9690650669,8.781792255155212,-1044.0391507353197,31106.37297439318,-0.0008819008370146472,691.3228003156521,-3735.5721328637333
4309.365Mn2,4312.193Gd2,19,62.221076062910946,237339.83103931448,-4.16625529461888,814.5594950930583,-15745.533680409326,0.0004037543160507479,43.233181455603386,1972.7301364160435
4309.365Mn2,4315.724Nd2,19,76.71772330413694,492591.57734903676,1.2795744683132282,1048.3549843095211,-28317.735607221643,-1.341899289724508e-06,-311.43789590576546,3407.2288744638445
4309.365Mn2,4318.008Ti2,19,70.98573520416845,653511.3138244069,-1.3804363678311014,1005.440589197272,-25446.325552872404,0.00022059401339793444,-253.80181893316174,3065.512798145661
4312.193Gd2,4318.008Ti2,19,33.90335331281816,413254.1586109455,2.078505325123847,178.69429518540827,-7397.706462379427,-0.00012133424450891999,-247.97878373183875,824.6236629276264
4312.193Gd2,4322.165Ti2,19,28.178120554786073,695213.4863710902,2.8643354237764944,191.174448906585,-5248.9302287594555,-0.0001883891996201655,-237.1908460591826,556.4860444641432
4315.295Sc2,4322.165Ti2,19,17.626818122748194,471045.67449669086,1.3878562683655995,-96.98824205339581,845.6086209734333,-0.00012893936056286028,73.7027057965403,-91.10008672893002
4334.960La2,4346.111Fe1,20,35.38486229401972,770390.6379267413,6.613747146707517,197.1165064469259,-9825.831520618824,-0.0005484286974704113,-134.29306608471592,1116.6212975588426
4343.034Fe1,4346.111Fe1,20,27.481553109271506,194386.93433036818,-10.487365919616078,-910.3388276187811,21163.095479046413,0.0009901173352725606,2663.566244737056,-2473.200884953316
4343.034Fe1,4351.364Fe1,20,69.6354684529912,554934.8801177848,-27.25480987138183,-1564.4619440085005,44355.707710029455,0.002467451055157502,1791.3812172925338,-5162.1899228143275
4346.111Fe1,4351.364Fe1,20,78.0943929254543,369106.4744790613,-15.474844887028759,-1001.9526395846088,17553.658046062,0.0013716595955843593,171.8420675071931,-2052.284300210975
4370.628Fe2,4381.963Fe1,21,11.958957715606015,788429.1638664677,-3.981082545308327,224.35319448722578,-846.9287709526797,0.0003634051520020237,-20.631137118287313,89.72039332892739
4381.963Fe1,4386.207Cr1,21,20.444914240510677,267198.11333010887,7.824968077772202,-206.0696216983867,953.8312020586823,-0.0006996716969647652,-12.583591303886715,-111.92257634521012
4381.963Fe1,4386.207Cr1,22,15.495145792916482,274376.60254285566,7.633392091253341,-189.46892236159766,-2195.793637780223,-0.000678270313545141,15.446526287266808,252.02966205688426
4387.097Ti1,4398.472Cr1,22,95.44303263167527,726447.6960184698,14.55867033686189,-2233.0137237549657,6066.162556684292,-0.001314802326996244,749.3970612493333,-767.0954746005854
4398.472Cr1,4399.855Ni1,22,118.20908564372081,79174.64895500171,-0.3577894434019984,3251.9824888046733,4919.990637227273,6.650398420724941e-05,-1166.3321128756425,-448.37153197010576
4398.472Cr1,4400.835Ni1,22,84.7300466175041,215680.7193169673,-29.989618898952962,1465.2278765488622,12820.618670572312,0.002680581069742598,-424.0501775979678,-1462.7550848945202
4399.855Ni1,4400.835Ni1,22,68.66391694481322,136559.7448665566,-26.319366496763422,-1612.3618149000315,3459.547922291098,0.002317046928638457,577.2979022496663,-484.61714033304133
4399.855Ni1,4411.270Ru1,22,33.09065696849061,821838.9914192074,-16.306748579873013,-1100.27006487084,821.3060387442447,0.001440161608296424,134.58825362650612,-140.60532002788884
4400.835Ni1,4404.412Fe1,22,67.14357486127447,209508.371034381,19.492112167007672,464.0319438602362,-9438.404402377348,-0.0017906422129578105,142.47083076224447,1157.3894914362183
4400.835Ni1,4411.270Ru1,22,44.34757131986133,699611.2330852855,10.242675525777392,603.4645211332651,-9688.703879293673,-0.0008930421170887795,-622.7584745245349,1164.7466330893353
4490.998Fe1,4492.660Fe2,25,17.403498188527617,120816.56654848755,-2.3683255580364673,460.4498701523266,-1532.889102113411,0.00020521678905758932,178.96652153921437,188.82926416542915
4490.998Fe1,4502.533Ti2,25,6.863766014991141,772590.4367739925,-1.1019076608529246,-44.02726562342955,-271.21888843198343,0.00011082891793188833,-5.33423951310654,11.652843480848192
4492.660Fe2,4500.398Fe1,25,15.124872074765044,510408.9884828642,0.7801825293087509,-419.3468044353762,1397.4807399181332,-7.32852968644474e-05,-108.79816628992636,-156.8332028329747
4492.660Fe2,4503.480Mn1,25,13.273417082896032,718930.9803501631,0.36232849773575576,-397.2580375424423,280.0168749988415,-3.5153927950415923e-05,-181.7689140624775,-21.167798011710566
4493.938Fe1,4500.398Fe1,25,5.440119245215881,430076.9331920798,0.9205306493265332,39.35440075257455,-1009.3178340978983,-7.803403085448889e-05,-20.553279534261236,109.78257112644162
4493.938Fe1,4503.480Mn1,25,8.370202958204331,637252.6742359258,0.7210673030751656,56.61467777495099,-1793.8001443033781,-5.9094463088123146e-05,-105.11987960015905,207.27204935526794
4493.938Fe1,4503.854Fe1,25,9.41184176656807,664922.4026603791,-0.7170355867307713,-6.535209147088578,-1058.2664564520385,6.89422623207774e-05,-65.29553248516548,116.46983913661107
4500.398Fe1,4503.480Mn1,25,6.03729782702859,208029.95280993465,-0.1656508108498577,16.665518980953856,-1208.2690210006638,1.5835889539082883e-05,-83.76507174286849,144.94577395304032
4500.398Fe1,4503.854Fe1,25,4.499222847349614,233949.49562867405,-1.4883025544382373,-47.45920923766584,187.2379393451116,0.0001336460789797412,-51.403223839974764,-22.171272353589583
4500.398Fe1,4506.094Fe1,25,11.869723599281075,373461.21571723284,2.0085240541036145,-161.2043580247505,139.0170352003588,-0.0001900782396772043,-34.3386427203184,-7.995083795961364
4500.398Fe1,4510.999Fe1,25,9.873550563296652,709348.7274904756,-1.5780328487621291,46.55995771085301,77.68076956965037,0.00014984640151850077,-83.40708622467847,-13.879140505001304
4503.480Mn1,4506.094Fe1,25,17.609547481021004,163715.76671993616,2.2627877900753983,-179.34625985355993,2020.8061690849863,-0.00021341788687076574,34.452177593206194,-230.8041251818083
4503.480Mn1,4510.999Fe1,25,10.366940079763783,500304.7370526582,-1.3965160699669021,31.100124363563225,1729.1023758900108,0.0001326249670974917,-8.536091969306725,-209.45617028401196
