Transition,Order,sigsys,a,b_1,c_1,d_1,b_2,c_2,d_2
4205.650Cr1,15,25.853963581994655,42304.07777969223,-9.749551294480291,-240.15815004638966,-6425.218342747639,0.0008157415744996581,36.96015179717146,772.8479163569259
4205.650Cr1,16,36.24389279193782,21724.015074484363,-6.084417550346291,-288.6510454017009,-1744.6344775855105,0.0004885636734123214,124.63100609034359,244.26093614591693
4210.786Fe1,15,67.80702279443003,-2537.8634369434294,4.985766102420288,-376.0292926367076,-5463.29198245369,-0.0004804616867484887,288.8766695438232,674.6819838236788
4210.786Fe1,16,97.82973938383729,-15014.988418552457,0.3261597309786526,-355.69892767848415,6497.126504745069,-8.685055478641862e-05,501.4282978210097,-697.4177652551112
4214.834Fe1,16,20.245286208729798,-9398.375062343244,3.9648826653810416,-139.3815394316836,-897.1508875203959,-0.00034350016304665783,-172.7728665226154,99.06174212110851
4215.052Zr1,16,160.56654239712273,-26263.878886306797,6.595978484447106,942.6487569927918,5996.224960138882,-0.0007007686442392872,1563.8053161741652,-696.2031432210397
4216.017Fe1,16,122.19554417924401,-2366.605020202368,-3.1015528023874457,571.7919726840339,6839.5925061810985,0.00018750235512173295,1094.0935365411415,-802.3303725704237
4217.791Fe1,16,7.00552488568689,5448.24578039757,-2.325308861449907,-33.482568469599045,144.83513649235954,0.00021117096402485118,-19.732758352506696,-17.205283835012473
4219.893V1,16,6.465112314252398,3600.3474661141477,-0.5742621988791073,-85.50405766097607,-376.5809273392685,4.6873387533394016e-05,-34.55892041633914,51.33934788571482
4223.402Fe1,16,17.985642497018898,-15805.570260126495,5.24683522321493,23.59170483577494,669.00948523364,-0.0004626783995018466,90.86497393686983,-91.81695748034727
4227.146Fe1,16,11.021306352783908,3969.186577981221,-1.0664594113247368,69.33457313045561,-148.76092898071002,6.977501801647495e-05,-122.18014425779228,33.425001514716534
4257.811Cr1,17,10.545502437575825,6188.94941448115,-4.228912800979619,-66.30975701680016,2404.440232034348,0.00036546366283145965,2.883820650780068,-280.665336180562
4257.811Cr1,18,25.186209473971505,5263.297264893417,-1.0666152173151202,-1.2989599362562776,-1437.398762887038,9.340587223365755e-05,-243.0299770513694,166.70236019317045
4264.790La2,17,109.71244191836008,-7074.32940843017,4.539596429026527,-104.0591669946717,-2041.9425782404155,-0.00042211867070298715,178.58633575123014,255.8758326114568
4264.790La2,18,58.2196314436637,-3261.2240049718903,-0.44510277970450574,-155.36748158903677,3028.948929634419,1.5735946520483476e-05,369.77257440094724,-363.5612545315982
4277.630Ti1,18,11.615596360501302,2851.9232718134676,-1.6557346477162909,-155.03560549474483,926.8497397752371,0.00014755569349948297,-8.36407967699476,-111.82336333794308
4280.692Fe1,18,13.609654864768746,1630.098359922329,-0.6870550691317935,184.25637142849817,-145.7639091941948,6.466791293134406e-05,-9.621156646548988,27.64466722384001
4282.569Ti1,18,5.93697836422646,7470.489251332939,-2.7831086077189897,-56.873083993480414,419.8716856371249,0.0002430563352448647,-30.605677357811654,-55.225409468043516
4287.210Ti1,18,55.15723717409112,-15827.092793373655,8.43297396193066,-299.9455310492568,-3886.683323989092,-0.0007040023592526085,-5.027330338754477,441.51942580439464
4295.006Fe1,18,25.18857913907466,14325.117659555634,-5.883067251540695,43.01125725445604,1165.1864802011557,0.0005042593623387402,-49.95119838845198,-111.95252768773199
4295.006Fe1,19,29.269190467704288,15904.987365025709,-7.693249817882755,57.557684627016464,2691.539409422796,0.0006641040906346295,-89.9756565085849,-272.7533327068714
4299.716Ni1,18,44.34696124491011,33622.33277031573,-11.028040734736901,-44.655131580668424,-1230.9792760509451,0.0009699113186317472,-207.10010560898857,159.813071034316
4299.716Ni1,19,46.50974786584038,36735.05370213197,-11.456818828901019,-47.416129316319946,-2121.0744459109164,0.0010113020947953078,-290.6336833085913,261.22509320609134
4309.365Mn2,19,141.86052682467124,-48826.94893618683,-0.6060863542241167,-1173.0973493132367,26234.692888474918,-4.9321872335934205e-05,216.26936007296774,-3157.250912849424
4312.193Gd2,19,54.4016824125642,-10853.740002494365,0.37014455344852343,-341.1383169552325,4826.067595239111,-8.418555158414847e-05,253.8790845733565,-536.9115606668108
4315.295Sc2,19,13.451071675654372,3372.0369862022853,-0.09220116100871838,-18.151170685329156,-1346.9217145355587,2.4518156264899462e-05,-77.22224544669847,126.05559929322746
4315.724Nd2,19,14.732765890814246,2211.4636114802925,1.469025511761799,-89.04400874423597,-3452.816001719136,-0.00011491848878410633,-99.78530697094082,408.5667153538151
4318.008Ti2,19,9.662051626950232,2163.172718066858,-0.3115020993594195,-138.5860084788273,-670.6679585918193,3.227618472901922e-05,-3.317822926370773,75.10532315103804
4322.165Ti2,19,16.82149829597371,-5255.570091882099,1.7710570541415223,-114.1358924345659,168.0438017403623,-0.0001465676041416771,38.36970354747935,-42.853657149188855
4322.165Ti2,20,16.14874458082483,-6199.766652242249,1.994607148105575,-107.02049011578053,197.29167601311752,-0.00016225655741005203,37.06527132826347,-42.05471620859435
