star,4652.593Cr1_29,4652.593Cr1_30,4653.460Cr1_29,4653.460Cr1_30,4759.449Ti1_32,4759.449Ti1_33,4760.600Ti1_32,4760.600Ti1_33,4799.873Ti2_33,4799.873Ti2_34,4800.072Fe1_33,4800.072Fe1_34,5138.510Ni1_42,5143.171Fe1_42,5187.346Ti2_43,5200.158Fe1_43,6123.910Ca1_60,6138.313Fe1_60,6139.390Fe1_60,6153.320Fe1_61,6155.928Na1_61,6162.452Na1_61,6168.150Ca1_61,6175.044Fe1_61,6192.900Ni1_61,6202.028Fe1_61,6242.372Fe1_62,6244.834V1_62
HD10180,4.904488591616901,5.9938402878203805,3.549927681539128,5.067608906234135,7.633764078757672,10.394118555689055,8.048616733211363,9.416244840363202,7.819148246466013,5.7934482373712335,10.895303836145013,9.511505515488116,3.0040394477098813,3.277390344624933,3.64137660757366,5.048273717115833,2.8173133143492235,4.576472039026049,3.334649987226211,6.3359361617478935,10.240986531948108,5.840890624570451,4.271132615675244,3.769356075934686,4.58999530706602,5.204349771451998,5.459759820511001,12.757352116059359
HD102117,7.4130757989827245,3.381786909011714,6.701035811640463,7.280449652157549,8.954975106833594,5.546904746759073,6.309022214281118,11.652952737042085,8.960656577265182,10.399657705559926,7.866020847934909,9.296246516435282,8.593472847551151,5.039306115182333,3.5983038524928594,7.549151329645391,4.2946624074481985,4.731202191726256,6.975243979066237,6.773148503077386,7.3568151573003195,4.146154903895748,4.218888839431,5.536867217147357,6.34409718147919,7.463698327779406,5.2188341078426355,5.6269166181558825
HD102438,2.2772736340798923,2.6130768625171745,2.0716898060799482,2.6232987490878035,3.8815219382386155,4.571538085850318,3.7148296883111778,3.8261433629738466,5.317426846547159,4.2894568669091475,5.850267865387781,5.6029174201228225,2.3339083744799405,1.626587719273913,2.243222402296476,1.8715526360070251,1.7773440323349396,2.297444994039478,2.4827251003781035,3.748137486130905,7.739652548879277,4.393294763239089,2.3249196579407156,2.4116256078984915,2.7391926479445985,2.65919686705522,3.136089212480982,4.7677591255146625
HD104982,16.92830187227952,20.38495342991605,17.492223949760987,17.744970440111587,27.73416086358274,36.98055136880392,28.62184489016089,33.01383196366625,27.737733016623583,31.55304424444724,43.08322131124464,37.59239184110922,12.529802375221504,11.872928618371217,16.08885679107472,13.803633531657026,11.832737074754442,15.32258748071197,15.305089768022627,25.785180192520155,64.43735060033536,33.80616985726664,17.589833726815815,15.128050473387816,15.908033772844243,17.803769662422535,19.269156654096392,41.45115984478493
HD106116,5.874257690162653,5.082819799892506,4.081073931762113,10.714779001786072,10.807933172626107,12.76956075174265,5.102022904303398,7.693475074515185,8.494770467045827,9.76148265434271,9.451271639404208,10.64761503926218,4.020473061815648,6.2282117331798315,4.55557825771782,3.8701101852041586,5.831943810591925,4.615879902288092,4.386853030193295,8.996207058135825,16.556943516463825,10.951105277648704,4.335434697335788,4.893630113319409,6.131746094607568,5.487028170702299,4.1519682383403955,10.330021257708381
HD108309,3.2142215687331173,2.6957075989228647,3.7632642833743413,2.99539867414155,5.714889972564699,6.009500797990453,5.468960691042979,4.8826668147686085,4.618480343445817,5.001969406714128,4.763806151169842,7.10933886423691,2.7258475992466105,2.093936836175312,3.015440188605424,2.0530973898464104,2.4996486356696885,3.3442606969376394,2.820721608834044,3.0510271184217954,5.4656771436118525,3.949025756798096,3.3224600425835416,2.9338538819824147,3.1314051198452355,2.957249764404807,2.8801317207418586,7.602396590615344
HD110619,14.307513460412862,6.117385975227816,5.435354915759514,2.281618984848401,5.413394493869564,0.2983544133871284,7.560769213390089,17.51092052561361,15.102509575197358,13.086539727503425,13.3564214570398,14.117936742949787,5.592524914966881,8.926146220385645,9.3251183057834,5.114564775201899,8.741922788510587,14.522059339552246,8.340138722297741,29.433132052921174,16.504694601068618,1.8555606602514945,2.4959979456763044,5.167351791402612,3.555600368724171,3.6187977228839525,7.62646511326729,2.435943678515236
HD111031,4.100070002639037,4.939984116627493,5.380103162085708,3.9173274188601983,8.832759181572703,12.309099501059782,4.812339546902224,3.609356289858692,6.013452600567248,5.343013150806485,5.6760390377104954,12.130698161533566,3.369517558682881,2.479068800207937,6.171552099044806,3.0296589003229717,3.3060771425853748,6.8744450142048095,5.566580965675505,7.4888835370437965,13.86036854953962,2.8595473226102097,4.5105829441180285,5.216442132540807,4.872380493328484,5.601277777967056,2.438562464929223,2.9174850238919814
HD114853,3.2977536094228785,3.516611693976796,2.8166900405734743,3.910919756822027,5.916544568777931,7.860053056626566,5.566244045361717,6.730144584350744,7.5684461574810955,5.9358068651829035,9.928182368197646,10.495322174298293,3.5705000116619434,2.5771980364978835,2.6855316945914547,3.346097328764649,2.3387848910586557,2.72482060160479,4.3903401717159705,4.491635195770012,11.190397969871707,7.104429627445622,3.4150411622304335,3.797583881826094,2.9210649674180953,3.66939265410993,4.506129265180635,12.582092852615135
HD11505,4.082034586727309,1.9499120641537273,10.93876153960918,3.5409811178470325,17.631620976238587,0.7662438012311749,19.65058031785397,8.510580435640298,11.016023050299346,5.795894682353956,22.651809333786126,26.796559856859567,2.942852253914834,6.075351605710049,16.97946687736745,7.525716040381504,1.9076207895125974,12.039131566049472,11.957671872605564,15.42779882327237,8.71222257595843,22.593959139912407,9.801891859593178,15.130911619822891,10.63310329220693,11.012178538681027,17.209642617754437,21.912298621216724
