star,4652.593Cr1_29,4652.593Cr1_30,4653.460Cr1_29,4653.460Cr1_30,4759.449Ti1_32,4759.449Ti1_33,4760.600Ti1_32,4760.600Ti1_33,4799.873Ti2_33,4799.873Ti2_34,4800.072Fe1_33,4800.072Fe1_34,5138.510Ni1_42,5143.171Fe1_42,5187.346Ti2_43,5200.158Fe1_43,6123.910Ca1_60,6138.313Fe1_60,6139.390Fe1_60,6153.320Fe1_61,6155.928Na1_61,6162.452Na1_61,6168.150Ca1_61,6175.044Fe1_61,6192.900Ni1_61,6202.028Fe1_61,6242.372Fe1_62,6244.834V1_62
HD10180,12.869214961597919,15.26439915568302,11.944749215134689,12.193434603483626,19.370637616318888,23.98112997091176,20.443067144168694,23.319784434705234,18.557819013189953,18.802824364913437,29.556461245881096,33.48891081905481,8.543190879413148,8.506606845318023,9.610002501604573,10.38385750613367,8.175297736805694,10.763928191100094,11.59386479147887,16.465545828739188,30.504836172564087,16.895904897907545,11.848953878965016,10.275414013948307,10.29521336859285,11.901214597089782,13.818644675008716,33.3774391098868
HD102117,17.78587005696931,18.5500858142762,25.788037371345297,22.314115553046335,21.03812577487572,22.77467112368986,19.14469232195462,23.661596965021808,23.159922787363143,23.356328119046097,21.233026680716165,22.41214655064928,12.809553297359338,11.040629467688788,12.824403566063872,13.09325180717698,12.214836428816447,17.18211532469791,20.556499595786924,16.73926610475396,26.54761372263991,19.8374456660341,13.708024290824723,12.509229670520856,13.03029266556205,14.281460310016854,13.595699064660046,18.972021318008697
HD102438,6.306700450493824,7.552590737718054,7.157797884200531,6.971141469411751,9.249130803550726,13.554746078934954,9.151666265971002,11.315829996179685,11.928870871329792,12.922182597803493,14.089852868569658,15.243065027804652,4.724656339822272,4.3107614048456835,6.006081068191412,5.13392127504765,5.277298544059687,5.637070743806759,5.885290683413001,9.17894988175733,22.56531109348648,12.227984912011859,6.45721159034482,5.339862269983243,5.741704620348681,6.156424834003138,6.866619709943761,14.17792656556249
HD104982,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD106116,7.214912780088226,8.913390965847936,7.723791325787144,8.738389782432336,9.831563345785433,12.979140989587359,8.824362246530528,11.878682211238036,10.983491731655427,11.695995827380422,11.578094114970787,12.58624627901691,4.9852271280063,4.860257268272102,5.971078799201946,5.374684713630864,5.357025889268369,6.903768964351303,6.582023405352283,8.609907043872703,13.598455343215269,9.732162355258698,6.5521885680860485,5.708786257813727,6.528294875824739,6.544367007767263,6.388979772784437,10.081537725782267
HD108309,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD110619,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD111031,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD114853,2.6850532959672653,3.256747882905593,2.825895022936812,2.979769300396189,4.609020600129376,6.371392328483661,4.3328113539644555,5.333647227302171,4.907990941389021,5.10616224565474,7.089615413926318,7.454729498658698,1.9622271410346608,1.8853953541697828,2.392065956473485,2.1315347102006634,2.1242245807939297,2.591951964967602,2.607280645102509,4.3911611376455255,12.065435868319042,6.394763763999114,3.0678130519688604,2.4657398241015036,2.7382105179979206,2.8924781261716994,3.394420723221456,8.469929909804653
HD11505,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD115617,3.791212582757843,4.755769764404133,3.9423502981747394,4.923174331340018,4.957260160243353,6.725068112908322,4.787862359353584,6.352477223299033,5.976937924718955,7.081355933379014,5.9072005186701135,7.007133566820247,2.8072112029075718,2.763908422075064,3.4043150575748387,3.021577004124637,2.8444496929025864,3.873973761070318,3.63204350308602,4.436475031035907,8.886038874810998,5.595381407155918,3.3561124447509205,2.8060543205893413,3.3676996006929634,3.4979916135119695,3.4194946883598756,5.667573606426565
HD117105,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD117207,9.319743910729962,13.699912124882804,11.112329035975788,12.417009927449925,13.000646530684142,18.041047223700993,12.04741549130767,15.617317497571584,14.239408438938082,17.855255649702887,13.954850175930869,16.376719033,7.585596710696599,6.9435087580602595,9.108331261454122,7.642897822560765,8.406470429777453,11.473850946915848,9.665600881929334,12.209536104518069,19.781058925351317,12.319586719446466,8.89211893013086,7.690683642050006,8.637505930830567,10.572841200832373,9.464420979326158,14.879342391075316
HD117618,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD12387,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD124292,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD125881,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD126525,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD128674,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD134060,5.017904593398257,6.270061099352202,5.228499704575009,5.497489642512586,8.605188308948652,11.160017994235234,7.773888514463638,9.752778217097724,8.05509241839191,7.905519613984658,13.302536321122117,13.781095977238127,3.6276710832093393,3.601777532009119,4.3121065869883255,4.1796330396919705,3.712624246874855,4.946838384677186,5.0329389156701385,8.026923828668087,14.063399106450298,7.994712661822115,5.754188091275936,4.619927533152801,4.966727919346754,5.679406995240154,6.069705182842715,15.297639856689512
HD134987,10.48933740674014,12.786863363778178,13.476340868932095,12.883911468027062,13.095879295496355,18.418275249671012,12.897406547387872,16.17753183166873,15.515715833526443,16.975932880653154,15.606767871014966,17.512613150325546,7.409540954546713,7.163616841709371,8.378064284753503,7.659896706455955,7.3600661006884,11.573332635992113,9.670593279292609,11.267139817685756,16.54126102852193,11.795805033342187,9.166769760897827,8.10382173430639,8.226341422870474,9.50758541048496,9.083818217293627,14.840472428402103
HD136352,4.537203041701919,6.56260407104521,4.687391977266553,5.7403412608404745,7.392769140806797,11.713461514604704,7.190297725431985,10.158054747222135,7.339718335969096,9.278023525177984,12.51181860814037,17.81171224164026,3.651218570184548,3.4641086888663457,4.290833140270589,3.697592233646017,3.681099189153765,4.5415432172703705,4.5774785659598285,9.467679753386747,19.017783809722157,11.50128034567781,5.813532629045266,4.794541512391863,5.085756299049116,5.360850350883606,6.937754889849408,14.898124486930039
