star,4652.593Cr1_29,4652.593Cr1_30,4653.460Cr1_29,4653.460Cr1_30,4759.449Ti1_32,4759.449Ti1_33,4760.600Ti1_32,4760.600Ti1_33,4799.873Ti2_33,4799.873Ti2_34,4800.072Fe1_33,4800.072Fe1_34,5138.510Ni1_42,5143.171Fe1_42,5187.346Ti2_43,5200.158Fe1_43,6123.910Ca1_60,6138.313Fe1_60,6139.390Fe1_60,6153.320Fe1_61,6155.928Na1_61,6162.452Na1_61,6168.150Ca1_61,6175.044Fe1_61,6192.900Ni1_61,6202.028Fe1_61,6242.372Fe1_62,6244.834V1_62
HD10180,-428.827673000508,-275.5369785434789,145.07707196379565,289.29959917459286,-85.02709744727537,22.424518110422415,-26.03890419270945,95.2730307582084,-170.33632837725207,23.174909180145953,-51.05239164695952,100.10790483855511,-225.4885525430056,139.62724191148152,65.33224575733068,65.5554935881855,304.3887489237237,407.8559501123884,352.22948989361373,151.21482429901363,68.77274511442842,132.28216862685636,-323.5341968464632,101.3531820241434,-278.0996740620678,185.77111919860607,105.2367922421459,147.95772576358368
HD102117,-383.2669267410845,-257.05501933670485,206.17282260917392,348.6063401569061,-16.582359077647197,97.39719151308032,-16.4673437943016,37.50690604633547,-154.5395422685861,-70.46477040107567,16.4091084893966,0.12144893794697964,-288.8294823393138,138.6237086627337,35.57834473029499,96.95595047183792,309.57718326263256,474.8176661375142,349.0046870524956,101.5099936729892,97.3458124209302,135.71544792091953,-296.763793898315,125.96353136811949,-317.89423120638116,230.8662159445319,131.657496836137,122.72697111533893
HD102438,-437.5572102572985,-312.54089403827305,85.58922355065347,225.1138098290158,-38.786166142426616,41.922355557493084,-17.396116007362902,53.80545923052017,-121.67894521002785,-33.562441072948204,-37.39286672108235,62.114551318382034,-286.82563082161784,114.38450537737451,50.92554013127851,93.18906526203348,272.8927450025489,357.4683843567125,317.68987219720606,127.93591994501831,13.399465700147339,12.552642650765321,-339.18990239250473,107.57581147660248,-318.12159623880586,181.25111252684746,115.60848608581092,108.94249394467901
HD104982,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD106116,-408.91213413871077,-294.0040479285192,157.9554933704014,317.2008373734625,-37.878710122151695,28.326582533462087,-28.331952975679553,71.56024374882925,-177.37707536808244,-45.88234484570496,-70.0077514478605,73.03297721341337,-268.72327216363965,142.36683835496464,30.078617045424366,68.23947400516766,293.0223951178268,418.49746751011054,347.8171077054188,128.73920400777894,68.64375294647951,101.01720567211227,-313.25035922724885,103.54301260262918,-297.16762478821386,211.41172054121495,122.14514542573025,97.92208167403678
HD108309,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD110619,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD111031,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD114853,-424.7747268150939,-319.8954709632927,99.30873124460348,229.53840835535038,-42.0722653086572,32.93746448512455,-33.808543025335084,57.78874258385842,-97.52175747271501,-15.424801834596453,-33.593219776778504,58.45615869132121,-243.78633128627848,138.0458851675536,74.8157541949101,110.15461632561141,305.8631400756739,372.9726950398659,332.9445338246185,114.16538249585786,38.00601421118421,54.22653609899762,-338.4465956532064,99.50218333232776,-305.46091603327966,167.79642813948868,116.21160456139884,135.0433624451384
HD11505,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
