star,4652.593Cr1_29,4652.593Cr1_30,4653.460Cr1_29,4653.460Cr1_30,4759.449Ti1_32,4759.449Ti1_33,4760.600Ti1_32,4760.600Ti1_33,4799.873Ti2_33,4799.873Ti2_34,4800.072Fe1_33,4800.072Fe1_34,5138.510Ni1_42,5143.171Fe1_42,5187.346Ti2_43,5200.158Fe1_43,6123.910Ca1_60,6138.313Fe1_60,6139.390Fe1_60,6153.320Fe1_61,6155.928Na1_61,6162.452Na1_61,6168.150Ca1_61,6175.044Fe1_61,6192.900Ni1_61,6202.028Fe1_61,6242.372Fe1_62,6244.834V1_62
HD10180,-328.59325238979994,-304.3562702786536,243.27265010097327,263.29274382070787,-5.15093548934826,27.710053355830915,18.78074429062548,23.942297339386478,-25.70877573232736,-20.091534012909918,57.99697489523061,72.8685468884517,-263.08510529549187,142.99694027660726,91.19416165442728,132.40868148176486,258.1312080492442,361.4907497817292,327.25530350523997,33.267852312724806,27.276674647231598,29.77098200266246,-406.15840613439696,22.87099702974439,-309.8590891836085,174.03987538250854,57.16932375053524,131.25706945484404
HD102117,-290.4406990362519,-287.13381434220827,273.40728976274477,310.0713644114135,12.130787288778036,11.199429896590772,42.75341157131223,34.89520081823496,-51.05881547247038,-51.05481984455364,59.82548518081018,58.33684069795337,-310.68965140469044,146.28126392237272,60.003226715528726,148.75904557173004,241.0717193816309,388.931558220997,343.3424227342747,32.32899101051948,13.319539896920203,51.249354008372805,-394.2882258183419,37.759802048690545,-340.26738850307004,205.49269140225525,64.72837747882768,93.67253388276713
HD102438,-344.0479225500827,-336.8160560244154,177.2834841340108,192.94047888745573,29.594888726520097,38.91999992453171,45.85783248484675,59.78216296343163,-31.863795684019724,-41.03231111874111,59.229495771049734,71.4589290778175,-305.91186787746403,133.62578324848064,70.85725490211635,144.99660905608152,219.66120102055407,306.3318223449081,263.56836397918215,31.000186345498097,-124.86798034889995,-91.69231736828587,-433.8837632928773,25.11662732829066,-353.56940173531063,154.10876676497008,79.35272357121109,51.55979013005125
HD104982,-330.78637240301407,-382.366195653245,191.31828047633155,214.0810082795972,31.750277469553623,-34.58199817272589,52.75459181271725,3.882794662722347,-89.44341832357435,0.7544532016201515,48.87905921663895,34.74593959996048,-301.03544818408943,150.9689016995457,33.7478533136474,142.50115287442554,238.57016751506433,320.97603761537425,291.7662113700254,41.74518844037226,-79.7684858815611,-83.5543105780037,-473.9993064494573,16.227865897968286,-327.21800045074355,126.55942653571714,36.40439523389415,67.80322636096236
HD106116,-316.9367480722666,-294.0597797425358,245.5576364476086,281.5029260733191,31.53820768683985,25.718058525876362,37.046960919149704,30.910770521039826,-51.530833980804864,-56.641129286126876,48.58199960545187,49.85801813091135,-290.02788058392713,146.34610551261434,52.11541022379932,136.9615362048934,237.88182083174567,358.1868235398409,312.35732435225583,20.54378822628262,-36.66672446223326,-10.18452406533341,-416.7571962608354,35.67188838867947,-318.0057207760285,181.34674670320453,82.03280728046927,71.22701387087714
HD108309,-311.86310255552223,-299.05843082124403,248.7336254527421,286.7798008927403,-4.2662342569578175,36.03252911906264,14.68018910068848,30.485546596709536,-47.47254128756373,-27.604436624329654,34.10569399420705,66.12161108696003,-269.31538523125516,160.60999679815225,104.62756600271214,166.81446131416513,276.8911112876227,391.5428222056286,336.90598434201377,40.80496965207726,23.857142563571603,54.92916852674894,-398.3281319845281,41.65196559746764,-316.364766669649,184.08755792152752,81.59478344110364,101.95398837410366
HD110619,-337.20696483693325,-350.0640196030723,166.96044600415829,135.3374242008202,15.25497885296286,22.05397291292079,31.277024885616967,56.19124357359349,19.229968537728272,-23.30825372983618,72.76440228730131,58.050955876060826,-313.8097809601215,107.12876556578773,79.42639587569725,131.99803732305858,222.65493643943694,306.52041638505193,280.56366692968425,20.495698045326034,-284.6878415867396,-130.79754125386958,-450.08884084310455,-1.3652989871900525,-342.415853931934,146.32400117188374,35.682987542262744,62.33010830472146
HD111031,-303.5616671286616,-274.8059016024261,272.09269493842766,299.63114112711014,18.52995386611495,47.39240240061251,23.846721392666947,41.02920306966254,-55.693047563180066,-53.96653111770231,30.73607120374614,37.69009429644592,-278.8404904755572,161.11978741563425,74.06759904249274,140.6474882534611,264.0807599427837,405.30128551430545,347.720468222163,38.162987407148556,34.20203745397954,44.826912755329886,-399.4229577860261,24.373101580286093,-306.03320712973095,206.87777957174606,58.71586554803956,89.7047716508218
HD114853,-355.4911113049443,-332.98680963916894,187.81287888478914,210.56117678635152,5.262428202459207,37.208138589331675,26.673033189054077,49.6230819986453,-24.06070384959051,-15.334645935913635,49.63550857768772,73.73665663567694,-271.64524116475036,141.9419602942179,90.5027366711793,150.59137290330926,245.99286201815028,320.47034342491776,279.7785284322109,29.888359349644816,-88.56231932148847,-63.806783096515225,-426.21333051979127,20.59100257786849,-332.05746213960765,144.04394522830543,68.68187803989962,64.48076830159569
HD11505,-320.5812838758408,-300.5616764535434,206.80623947562535,218.37058905814627,27.010493483947766,90.38914967491289,28.185945271401977,21.547405145590513,-2.5213294877032197,-12.414578733727797,22.97807515544813,55.190366688467684,-325.6128085699393,140.70611461008428,158.72536509386956,153.6883918924547,288.19112057315664,353.7582064725933,297.9837233654362,40.74494956501176,17.08829256735421,-14.173069830905947,-387.43156672770334,19.902013908108085,-426.50329185473714,148.71393009275448,71.81441233526623,153.5517110647427
HD115617,-333.93595575382955,-323.3299460169728,206.45015960542216,241.29212776547428,29.082481164749275,40.059069409937266,46.633353681236656,59.69630007509859,-56.3062784898137,-59.91910103896209,46.64013640925516,59.191948174696236,-311.14783088050416,133.47669334777373,54.24926578317045,133.72194542311757,213.97491207806016,320.4078567264147,274.0635960475368,30.9263835629018,-81.16136704657399,-44.90559033961449,-419.2172463483805,25.508918663502225,-344.39100680386144,171.45368297401888,69.917795492659,60.57057327421193
HD117105,-375.77260060925005,-357.936201844996,182.4678521953409,190.0285219714965,5.907894944061965,55.288248159258494,16.470767806107286,16.52966282253337,32.386148354769084,22.4389359309209,68.9979468421497,97.09804363334855,-291.96952140314346,137.96278428511226,139.58237287993734,163.44938069183962,303.9651644522465,331.8167578758856,299.1696357166028,18.78069760016567,-54.545466252604776,21.48506135631498,-421.5493310267208,21.71310011263129,-384.0303095651594,109.19332334852376,75.9727409703355,181.45073339244905
HD117207,-307.6457640273893,-289.53278025406274,247.85057202648386,296.2643967113991,18.38376699383778,32.91335555555233,37.889797895029176,56.19933599458392,-71.28351108458914,-69.03573272067129,17.83855506297804,26.401531286404534,-296.60538656632656,149.7704330709514,41.234132593337165,131.6150849886106,232.70061447551691,362.446826975451,321.42854549972736,39.42466550737618,-24.61658913708017,6.0821031975012,-423.04560250433553,39.48811346779853,-312.014251153987,196.58945502315612,77.26858869832377,92.01854699507726
HD117618,-338.8479487575175,-324.3554923903852,207.28830406407567,227.1694721769605,18.56132378605631,39.79665654234335,-11.433301377915516,23.21289606810815,-9.383361378098703,-46.74731959876953,60.524983446560874,85.51495860708577,-263.2008700982513,129.6180928680945,91.57507124616264,135.17329284669864,259.1196699412913,355.9387090686629,295.5288744336308,24.607109669776655,10.267444703715864,32.88492704528125,-418.84564437559624,11.91471239705014,-310.13157023063366,157.40156143658768,81.58599344595301,250.6519924945593
HD12387,-331.96458607466684,-329.75818468686566,178.30968338282278,181.16672486463406,-1.0737599901531214,27.999888724919657,44.362949791354794,68.23128332275824,9.060892567543156,15.07096410758414,64.81115679724726,79.13356975095257,-341.3762673989301,136.5904525521713,143.1029976084202,163.6497883469545,273.4310966648653,358.53596874660445,307.7945783165849,46.54446034129074,-17.946365256286118,-35.648756938608194,-389.85228494623135,24.69600154094128,-417.10459150925567,151.98828446873387,56.86824277272303,54.92590275881136
HD124292,-341.15978696798123,-334.04037259186083,188.42159300783084,210.84996306896673,42.575055111929565,44.015568504313194,69.76168173251709,47.94224465744861,-74.8796960972714,-36.84830290639197,26.911891050224668,74.25971678052308,-321.54015975556655,108.48564511476548,44.754428446954094,121.48669659634322,182.1273402416787,308.3525150722793,257.5258350410762,18.297810888284925,-91.86709738845212,-76.05508256193843,-428.53023430224636,16.767864293737965,-358.23157368805545,172.68868051368202,74.90248801545388,62.204236963568235
HD125881,-346.5881797447774,-351.27423116361507,202.02561436979636,235.78148790344284,-10.099819841107015,-2.781184755440591,25.96405992381441,-15.572092799408795,-10.067980785750699,-19.143712812297412,-5.416369972474215,63.45827122181716,-207.04576676015512,128.16643048190733,110.40413010913568,135.67654150724036,264.81471160137494,328.8526031224097,286.51815960965433,51.80800420360603,64.11319332212092,-28.630201219751665,-395.8631261188976,11.015847553271735,-292.2356883101637,147.607199561008,50.19029843840912,111.98671248854258
HD126525,-308.0601983382914,-300.6721987752405,219.97693220635026,215.91465499579152,39.15743008985095,-26.609787146200006,16.863850027332376,62.158104510243966,-43.80671564660531,-40.27136663166749,71.1314598604036,77.69362837083986,-288.5485075076059,154.48008326107202,74.87905052209669,159.6660660865179,265.3270745111773,347.42578330222017,305.46371898174556,67.6636033315105,-16.66119533061749,-16.779682884519218,-432.4583953889621,13.734648215951552,-334.99043967136754,187.7707880982568,72.57237658635188,49.12624243592552
HD128674,-323.9484985735783,-352.10588509113126,174.60926746765918,165.41045015768273,40.30010632310973,46.34061726656635,59.68585663664328,47.09011629695281,-24.911308594198466,-29.351474971904132,82.05854522636785,64.64517760420722,-313.4893208810351,140.18585964930287,86.46317220328561,146.62504000139333,216.74683875810766,299.4060251318587,262.640082816795,29.355520107445734,-144.07657394558012,-135.85435602140635,-442.3050138377018,22.944148996559502,-356.370421718296,145.38876846394197,82.52185798272879,42.836073180909814
